IND,naics,ces_code
7870,"6112, 6113",65611200+65611300
7880,"6114, 6115",65611400+65611500
7890,"6116, 6117",65611600+65611700
7970,6211,65621100
7980,6212,65621200
7990,62131,65621310
8070,62132,65621320
8080,"6213 exc. 62131, 62132",65621300-65621310-65621320
8090,6214,65621400
8170,6216,65621600
8180,"6215, 6219",65621500+65621900
8191,"6221, 6223",65622100+65622300
8192,6222,65622200
8270,6231,65623100
8290,"6232, 6233, 6239",65623200+65623300+65623900
8370,6241,65624100
8380,6242,65624200
8390,6243,65624300
8470,6244,65624400
8561,7111,70711100
8562,7112,70711200
8563,"7113, 7114",70711300
8564,7115,70711500
8570,712,70712000
8580,71395,70713950
8590,713 exc. 71395,70713000-70713950
8660,7211,70721100
8670,"7212, 7213",70721200+70721199
8680,722 exc. 7224,70722000-70722400
8690,7224,70722400
8770,8111 exc. 811192,80811100-80811192
8780,811192,80811192
8790,8112,80811200
8870,8113,80811300
8891,8114,80811400
8970,812111,80812112
8980,812112,80812112
8990,"812113, 81219",80812113+80812190
9070,8123,80812300
9080,8122,80812200
9090,8129,80812900
9160,8131,80813000-80813200-80813300-80813400-80813900
9170,"8132, 8133, 8134",80813200+80813300+80813400
9180,81393,80813930
9190,8139 exc. 81393,80813900-80813930
9290,814,80000000-80811000-80812000-80813000
9370,"92111, 92112, 92114, pt. 92115",90000000-90919110-90919120
9380,92113,90000000-90919110-90919120
9390,92119,90000000-90919110-90919120
9470,"922, pt. 92115",90000000-90919110-90919120
9480,923,90000000-90919110-90919120
9490,"924, 925",90000000-90919110-90919120
9570,"926, 927",90000000-90919110-90919120
9590,928,90000000-90919110-90919120
9670,928110,90919110
9680,928110,90919110
9690,928110,90919110
9770,928110,90919110
9780,928110,90919110
9790,928110,90919110
9870,928110,90919110
9920,NA,NA
